## RECSRecommendations Upload File,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.destinationCode,entity.sourceCode,entity.currency,entity.language,entity.sku,entity.date
RUH-LHR-EN,TURKEY,riyadhair:kingdom-of-saudi-arabia,Majestic Istanbul,https://s7g10.scene7.com/is/image/aviationservicesstage/frankfrut,"1,450",discover-riyadh,500,0,LHR,RUH,SAR,en,RUH-JED,20-12-2024
RUH-DXB-EN,Dubai,riyadhair:kingdom-of-saudi-arabia,"Going to Dubai, be back never",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,46,discover-riyadh,500,0,DXB,RUH,SAR,en,RUH-DXB,20-12-2024
DEL-SIN-EN,Singapore,riyadhair:non-ksa,"City lights, city sights - Singapore nights.",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Singapore.jpg,62,discover-riyadh,500,0,SIN,DEL,SAR,en,SIN-DEL,20-12-2024
JFK-DMM-EN,Dammam,riyadhair:non-ksa,Lost in Dammam's charm.,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dammam.jpg,69,discover-riyadh,500,0,DMM,JFK,SAR,en,JFK-DMM,20-12-2024
DMM-KUL-EN,Malaysia,riyadhair:non-ksa,Malaysia’s sunrise: A new day in paradise.,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Malaysia.jpg,70,discover-riyadh,500,0,KUL,DMM,SAR,en,DMM-KUL,20-12-2024
LHR-DEL-EN,UNITED ARAB EMIRATES,riyadhair:non-ksa,Hala Dubai,https://s7g10.scene7.com/is/image/aviationservicesstage/uae,"1,230",discover-riyadh,500,0,DEL,LHR,SAR,en,LHR-DEL,20-12-2024
RUH-CAI-AR,القاهرة,riyadhair:kingdom-of-saudi-arabia,تجربة نابضة بالحياة في قلب مصر,https://raw.githubusercontent.com/dsampang/mbi/main/dist/cairo.png,51,discover-riyadh,500,0,CAI,RUH,SAR,ar,RUH-CAI,20-12-2024
RUH-JED-AR,جدة,riyadhair:kingdom-of-saudi-arabia,الأنشطة الممتعة التي لا نهاية لها في جدة,https://raw.githubusercontent.com/dsampang/mbi/main/dist/jeddah.jpg,49,discover-riyadh,500,0,JED,RUH,SAR,ar,RUH-JED,20-12-2024
RUH-LHR-AR,لندن,riyadhair:kingdom-of-saudi-arabia,تجربة نابضة بالحياة في قلب لندن,https://raw.githubusercontent.com/dsampang/mbi/main/dist/london.png,69,discover-riyadh,500,0,LHR,RUH,SAR,ar,RUH-JED,20-12-2024
RUH-DXB-AR,دبي,riyadhair:kingdom-of-saudi-arabia,الذهاب إلى دبي ، لن أعود أبدا,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,46,discover-riyadh,500,0,DXB,RUH,SAR,ar,RUH-DXB,20-12-2024
DEL-SIN-AR,سنغافورة,riyadhair:non-ksa,أضواء المدينة ، مشاهد المدينة - ليالي سنغافورة.,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Singapore.jpg,62,discover-riyadh,500,0,SIN,DEL,SAR,ar,SIN-DEL,20-12-2024
JFK-DMM-AR,الدمام,riyadhair:non-ksa,ضائع في سحر الدمام.,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dammam.jpg,69,discover-riyadh,500,0,DMM,JFK,SAR,ar,JFK-DMM,20-12-2024
DMM-KUL-AR,ماليزيا,riyadhair:non-ksa,شروق الشمس في ماليزيا: يوم جديد في الجنة.,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Malaysia.jpg,70,discover-riyadh,500,0,KUL,DMM,SAR,ar,DMM-KUL,20-12-2024
LHR-DEL-AR,نيودلهي,riyadhair:non-ksa,دلهي مدينة الأحلام ، حيث كل شيء ممكن.,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/New Delhi.jpg,86,discover-riyadh,500,0,DEL,LHR,SAR,ar,LHR-DEL,20-12-2024
